"""Institution""",State,HD2022.Level of institution,HD2022.Control of institution,SFA2122.Percent of full-time first-time undergraduates awarded any financial aid,"SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22",DRVIC2022.Total price for in-state students living on campus 2022-23,DRVIC2022.Total price for out-of-state students living on campus 2022-23,DRVADM2022.Percent admitted - total,SAT Composite 25th percentile score,SAT Composite 50th percentile score,SAT Composite 75th Percentile Score,ADM2022.ACT Composite 25th percentile score,ADM2022.ACT Composite 50th percentile score,ADM2022.ACT Composite 75th percentile score,national.html,artsandhumanities.html,businessandeconomics.html,clinicalandhealth.html,computerscience.html,education.html,engineering.html,law.html,lifesciences.html,physicalsciences.html,psychology.html,socialsciences.html,
"""Tuskegee University""",Alabama,Four or more years,Private not-for-profit,100,24480,30332,33857,0,0,41924,41924,30,970,1100,1215,18,21,24,,,,,,,,,,,,,
"""United States Sports Academy""",Alabama,Four or more years,Private not-for-profit,,0,0,0,0,0,,,100,0,0,0,,,,,,,,,,,,,,,,
"""Bevill State Community College""",Alabama,At least 2 but less than 4 years,Public,100,7395,7961,7411,6232,0,16870,20870,,0,0,0,,,,,,,,,,,,,,,,
"""University of Alaska Anchorage""",Alaska,Four or more years,Public,92,6450,9746,12476,16796,19569,28792,42919,65,0,0,0,,,,,,,,,,,,,,,,
"""Alaska Bible College""",Alaska,Four or more years,Private not-for-profit,100,14153,0,18159,18319,0,22101,22101,,0,0,0,,,,,,,,,,,,,,,,
"""University of Alaska Fairbanks""",Alaska,Four or more years,Public,100,5742,5012,9676,13915,14500,23196,37332,,0,0,0,,,,108,,,,,,,,88,65,93,,
"""University of Alaska Southeast""",Alaska,Four or more years,Public,91,3778,4097,5507,11910,11367,20638,34774,63,0,0,0,,,,,,,,,,,,,,,,
"""Alaska Pacific University""",Alaska,Four or more years,Private not-for-profit,100,19606,17622,20862,30422,28461,34670,34670,99,0,0,0,,,,,,,,,,,,,,,,
"""Alaska Vocational Technical Center""",Alaska,Less than 2 years (below associate),Public,55,16496,16184,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Charter College""",Washington,Four or more years,Private for-profit,93,22646,22444,24483,27218,26375,,,,0,0,0,,,,,,,,,,,,,,,,
"""Alaska Career College""",Alaska,At least 2 but less than 4 years,Private for-profit,67,17748,19009,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of Alaska System of Higher Education""",Alaska,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Empire Beauty School-Tucson""",Arizona,Less than 2 years (below associate),Private for-profit,70,15535,14975,16720,20082,20641,,,,0,0,0,,,,,,,,,,,,,,,,
"""Carrington College-Phoenix North""",Arizona,At least 2 but less than 4 years,Private for-profit,92,26440,26654,27873,30659,30659,,,,0,0,0,,,,,,,,,,,,,,,,
"""Carrington College-Mesa""",Arizona,At least 2 but less than 4 years,Private for-profit,87,39996,38248,44993,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Carrington College-Tucson""",Arizona,At least 2 but less than 4 years,Private for-profit,90,27116,28015,30154,31794,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Arizona Academy of Beauty""",Arizona,Less than 2 years (below associate),Private for-profit,100,13676,13676,0,20321,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Miller-Motte College-Arizona Automotive Institute""",Arizona,At least 2 but less than 4 years,Private for-profit,95,21863,24002,25612,26947,27409,,,,0,0,0,,,,,,,,,,,,,,,,
"""Brookline College-Phoenix""",Arizona,Four or more years,Private for-profit,68,37807,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Arizona State University Campus Immersion""",Arizona,Four or more years,Public,93,8088,10194,15137,18632,20466,31127,50101,90,0,0,0,,,,52,43,38,,45,25,40,36,48,43,4527,,
"""Arizona Western College""",Arizona,At least 2 but less than 4 years,Public,99,9713,10976,12699,12141,0,18909,25719,,0,0,0,,,,,,,,,,,,,,,,
"""University of Arizona""",Arizona,Four or more years,Public,98,11240,12651,14785,18520,20230,31625,57927,87,1140,1240,1370,21,25,29,48,31,60,51,93,35,43,63,47,29,5037,,
"""Central Arizona College""",Arizona,At least 2 but less than 4 years,Public,75,5794,5435,7523,8723,9582,13215,14715,,0,0,0,,,,,,,,,,,,,,,,
"""Charles of Italy Beauty College""",Arizona,Less than 2 years (below associate),Private for-profit,62,12113,10499,16199,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Cochise County Community College District""",Arizona,At least 2 but less than 4 years,Public,100,6396,6847,9181,11814,12971,14237,18053,,0,0,0,,,,,,,,,,,,,,,,
"""Empire Beauty School-Chandler""",Arizona,Less than 2 years (below associate),Private for-profit,96,15628,16398,0,0,20240,,,,0,0,0,,,,,,,,,,,,,,,,
"""Avalon Institute-Mesa""",Arizona,Less than 2 years (below associate),Private for-profit,93,17358,17975,14838,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Eastern Arizona College""",Arizona,At least 2 but less than 4 years,Public,78,5577,6312,7465,10517,11548,14918,21878,,0,0,0,,,,,,,,,,,,,,,,
"""Embry-Riddle Aeronautical University-Prescott""",Arizona,Four or more years,Private not-for-profit,97,34045,34360,35777,39812,38784,60158,60158,68,1170,1270,1380,24,27,31,,,,,,,,,,,,,
"""The School of Architecture""",Arizona,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Glendale Community College""",Arizona,At least 2 but less than 4 years,Public,100,9765,10211,12179,14710,16231,,,,0,0,0,,,,,,,,,,,,,,,,
"""Grand Canyon University""",Arizona,Four or more years,Private for-profit,99,18207,19313,21977,23915,23879,32100,32100,78,0,0,0,,,,,,,,,,,,,,,,
"""Maricopa Community College System Office""",Arizona,At least 2 but less than 4 years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""GateWay Community College""",Arizona,At least 2 but less than 4 years,Public,99,11696,11616,15507,15848,14463,,,,0,0,0,,,,,,,,,,,,,,,,
"""Mesa Community College""",Arizona,At least 2 but less than 4 years,Public,100,11062,11758,13346,15329,17056,,,,0,0,0,,,,,,,,,,,,,,,,
"""Mohave Community College""",Arizona,At least 2 but less than 4 years,Public,72,4398,5730,7786,9477,10730,,,,0,0,0,,,,,,,,,,,,,,,,
"""Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division""",Arizona,At least 2 but less than 4 years,Private for-profit,92,19385,21755,22104,24423,25149,,,,0,0,0,,,,,,,,,,,,,,,,
"""Dine College""",Arizona,Four or more years,Public,91,11038,11477,11700,12200,0,12700,12700,,0,0,0,,,,,,,,,,,,,,,,
"""Northern Arizona University""",Arizona,Four or more years,Public,100,11429,12812,15667,18968,20069,29202,44464,80,0,0,0,,,,,,,,,,,,,,,,
"""Northland Pioneer College""",Arizona,At least 2 but less than 4 years,Public,76,9805,12767,11534,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Ottawa University-Phoenix""",Arizona,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Phoenix College""",Arizona,At least 2 but less than 4 years,Public,99,10408,10847,13490,15241,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pima Community College""",Arizona,At least 2 but less than 4 years,Public,68,2498,3476,5530,7533,8742,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pima Medical Institute-Tucson""",Arizona,Four or more years,Private for-profit,92,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pima Medical Institute-Albuquerque""",New Mexico,At least 2 but less than 4 years,Private for-profit,92,19540,23289,0,13649,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Prescott College""",Arizona,Four or more years,Private not-for-profit,100,18916,23277,33391,24564,29994,47697,47697,98,0,0,0,,,,,,,,,,,,,,,,
"""Refrigeration School Inc""",Arizona,At least 2 but less than 4 years,Private for-profit,92,24006,24182,26139,28955,29643,,,,0,0,0,,,,,,,,,,,,,,,,
"""Rio Salado College""",Arizona,At least 2 but less than 4 years,Public,96,6249,9814,8651,11938,4711,,,,0,0,0,,,,,,,,,,,,,,,,
"""Roberto-Venn School of Luthiery""",Arizona,Less than 2 years (below associate),Private for-profit,36,26594,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Scottsdale Community College""",Arizona,At least 2 but less than 4 years,Public,97,11832,12706,15001,16230,18529,,,,0,0,0,,,,,,,,,,,,,,,,
"""South Mountain Community College""",Arizona,At least 2 but less than 4 years,Public,99,10208,10804,13113,15570,12731,,,,0,0,0,,,,,,,,,,,,,,,,
"""Arizona Christian University""",Arizona,Four or more years,Private not-for-profit,100,24298,26066,30446,31393,30955,50950,50950,70,0,0,0,,,,,,,,,,,,,,,,
"""Universal Technical Institute of Arizona Inc""",Arizona,At least 2 but less than 4 years,Private for-profit,93,23338,22932,25908,28521,29098,,,,0,0,0,,,,,,,,,,,,,,,,
"""Yavapai College""",Arizona,At least 2 but less than 4 years,Public,82,4830,5306,7899,8590,1002,16792,23452,,0,0,0,,,,,,,,,,,,,,,,
"""University of Arkansas at Little Rock""",Arkansas,Four or more years,Public,99,14678,16019,18993,20744,21300,24837,35428,61,970,1080,1220,18,21,24,,,,,,,,,,,,,
"""University of Arkansas for Medical Sciences""",Arkansas,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Arkansas Baptist College""",Arkansas,Four or more years,Private not-for-profit,85,7915,7189,8651,9172,20244,23060,23060,,0,0,0,,,,,,,,,,,,,,,,
"""Arkansas Beauty School-Little Rock""",Arkansas,Less than 2 years (below associate),Private for-profit,93,23739,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Arkansas Beauty College""",Arkansas,Less than 2 years (below associate),Private for-profit,73,10421,12716,9678,12226,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Lyon College""",Arkansas,Four or more years,Private not-for-profit,100,21673,20562,23598,30162,27780,45750,45750,60,0,0,0,,,,,,,,,,,,,,,,
"""Arkansas Technical School""",Arkansas,Less than 2 years (below associate),Private for-profit,100,23683,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Arthur's Beauty College""",Arkansas,Less than 2 years (below associate),Private for-profit,100,15011,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of Arkansas""",Arkansas,Four or more years,Public,77,11556,12575,15514,18867,20093,28300,46054,79,1030,1110,1220,21,24,28,119,100,80,82,107,75,97,50,89,129,96110,,
"""University of Arkansas at Pine Bluff""",Arkansas,Four or more years,Public,100,8927,9792,11934,9722,16718,22444,29614,69,805,920,1045,14,15,18,,,,,,,,,,,,,
"""Arkansas State University-Beebe""",Arkansas,At least 2 but less than 4 years,Public,100,9044,9195,11924,13609,14958,16982,18686,,0,0,0,,,,,,,,,,,,,,,,
"""Arkansas State University""",Arkansas,Four or more years,Public,100,7737,9470,12927,15472,15842,24553,30409,70,980,1100,1200,19,22,25,,,,,,,,,,,,,
"""Arkansas Tech University""",Arkansas,Four or more years,Public,95,12444,13060,14438,16451,16016,22201,28021,94,990,1100,1180,17,21,24,,,,,,,,,,,,,
"""University of Arkansas at Monticello""",Arkansas,Four or more years,Public,100,11986,11410,12881,14150,13622,21773,27623,,0,0,0,,,,,,,,,,,,,,,,
"""Arthur's Beauty College""",Arkansas,Less than 2 years (below associate),Private for-profit,85,11630,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Baptist Health College Little Rock""",Arkansas,At least 2 but less than 4 years,Private not-for-profit,,0,0,0,0,0,,,86,0,0,0,,,,,,,,,,,,,,,,
"""Black River Technical College""",Arkansas,At least 2 but less than 4 years,Public,99,4773,5563,8779,12574,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of Central Arkansas""",Arkansas,Four or more years,Public,100,13601,14316,16869,18715,19043,24648,31598,91,940,1050,1130,19,22,25,,,,,,,,,,,,,
"""Central Baptist College""",Arkansas,Four or more years,Private not-for-profit,93,16873,18247,18999,20316,22018,29396,29396,64,841,960,1083,17,19,24,,,,,,,,,,,,,
"""Cossatot Community College of the University of Arkansas""",Arkansas,At least 2 but less than 4 years,Public,94,3403,4130,6984,8481,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Crowley's Ridge College""",Arkansas,Four or more years,Private not-for-profit,100,14719,14859,13665,16688,17977,26680,26680,,0,0,0,,,,,,,,,,,,,,,,
"""East Arkansas Community College""",Arkansas,At least 2 but less than 4 years,Public,90,8156,8022,10246,9676,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Eastern College of Health Vocations-Little Rock""",Arkansas,Less than 2 years (below associate),Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Paul Mitchell the School-Little Rock""",Arkansas,Less than 2 years (below associate),Private for-profit,93,20066,20387,24561,25470,25470,,,,0,0,0,,,,,,,,,,,,,,,,
"""National Park College""",Arkansas,At least 2 but less than 4 years,Public,92,7785,7983,9066,8540,0,17624,18854,,0,0,0,,,,,,,,,,,,,,,,
"""University of Arkansas Community College-Batesville""",Arkansas,At least 2 but less than 4 years,Public,100,7235,8443,9911,10421,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Harding University""",Arkansas,Four or more years,Private not-for-profit,100,16656,14654,17597,21294,22536,35864,35864,45,1040,1160,1300,20,24,28,,,,,,,,,,,,,
"""Henderson State University""",Arkansas,Four or more years,Public,98,17580,16525,18779,18918,19916,27094,29302,71,903,995,1073,16,19,21,,,,,,,,,,,,,
"""Hendrix College""",Arkansas,Four or more years,Private not-for-profit,100,14694,19080,21365,25471,25807,52700,52700,60,1133,1230,1328,23,26,30,,,,,,,,,,,,,
"""Hot Springs Beauty College""",Arkansas,Less than 2 years (below associate),Private for-profit,83,12935,12803,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Jefferson Regional School of Nursing""",Arkansas,At least 2 but less than 4 years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""John Brown University""",Arkansas,Four or more years,Private not-for-profit,100,15284,13907,18506,21807,25124,43260,43260,57,1100,1210,1390,22,25,29,,,,,,,,,,,,,
"""Career Academy of Hair Design""",Arkansas,Less than 2 years (below associate),Private for-profit,81,12858,11638,17759,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Academy of Salon and Spa""",Arkansas,Less than 2 years (below associate),Private for-profit,88,14331,15191,15784,17515,17515,,,,0,0,0,,,,,,,,,,,,,,,,
"""Arkansas State University Mid-South""",Arkansas,At least 2 but less than 4 years,Public,100,8011,8314,10155,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Arkansas Northeastern College""",Arkansas,At least 2 but less than 4 years,Public,100,3853,3868,5666,6293,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""New Tyler Barber College Inc""",Arkansas,Less than 2 years (below associate),Private for-profit,83,15739,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""North Arkansas College""",Arkansas,At least 2 but less than 4 years,Public,100,7538,6080,8337,12404,0,17739,19467,,0,0,0,,,,,,,,,,,,,,,,
"""Northwest Technical Institute""",Arkansas,Less than 2 years (below associate),Public,89,5563,5969,7641,8243,8405,,,,0,0,0,,,,,,,,,,,,,,,,
"""Ouachita Baptist University""",Arkansas,Four or more years,Private not-for-profit,100,20656,20684,21996,24057,24619,45330,45330,72,1020,1110,1200,21,24,28,,,,,,,,,,,,,
"""Arkansas State University Three Rivers""",Arkansas,At least 2 but less than 4 years,Public,100,3110,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Ozarka College""",Arkansas,At least 2 but less than 4 years,Public,91,4270,6102,6659,8345,0,16060,19063,,0,0,0,,,,,,,,,,,,,,,,
"""University of the Ozarks""",Arkansas,Four or more years,Private not-for-profit,100,12114,12646,14736,18027,20657,36708,36708,60,960,1080,1150,19,21,24,,,,,,,,,,,,,
"""University of Arkansas Community College-Morrilton""",Arkansas,At least 2 but less than 4 years,Public,100,6180,7626,7350,11089,11200,,,100,0,0,0,17,19,22,,,,,,,,,,,,,
"""Philander Smith College""",Arkansas,Four or more years,Private not-for-profit,94,17548,15995,17723,17297,24451,26212,26212,,0,0,0,,,,,,,,,,,,,,,,
"""Phillips Community College of the University of Arkansas""",Arkansas,At least 2 but less than 4 years,Public,95,3999,4755,7650,8692,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Southeast Arkansas College""",Arkansas,At least 2 but less than 4 years,Public,100,5231,6598,8238,7493,8301,,,,0,0,0,,,,,,,,,,,,,,,,
"""Professional Cosmetology Education Center""",Arkansas,Less than 2 years (below associate),Private for-profit,92,11713,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of Arkansas-Pulaski Technical College""",Arkansas,At least 2 but less than 4 years,Public,91,12131,12043,15012,16393,17079,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of Arkansas Hope-Texarkana""",Arkansas,At least 2 but less than 4 years,Public,100,6616,7731,6305,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of Arkansas Community College Rich Mountain""",Arkansas,At least 2 but less than 4 years,Public,95,4027,3802,5514,8326,0,17641,17881,,0,0,0,,,,,,,,,,,,,,,,
"""Paul Mitchell the School-Arkansas""",Arkansas,Less than 2 years (below associate),Private for-profit,78,9079,10235,12866,14975,15574,,,,0,0,0,,,,,,,,,,,,,,,,
"""Searcy Beauty College""",Arkansas,Less than 2 years (below associate),Private for-profit,88,11966,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Shorter College""",Arkansas,At least 2 but less than 4 years,Private not-for-profit,95,13423,16790,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Williams Baptist University""",Arkansas,Four or more years,Private not-for-profit,95,11008,9691,10099,12520,9640,32790,32790,59,960,1050,1170,18,20,24,,,,,,,,,,,,,
"""South Arkansas Community College""",Arkansas,At least 2 but less than 4 years,Public,97,5632,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Southern Arkansas University Main Campus""",Arkansas,Four or more years,Public,99,14793,14333,17594,19066,19933,25445,30875,64,905,1070,1190,17,21,24,,,,,,,,,,,,,
