Institution,State,IC2022.Typical room charge for academic year,IC2022.Typical board charge for academic year,IC2022.Combined charge for room and board,DRVEF2022.Percent of first-time undergraduates - in-state,DRVEF2022.Percent of first-time undergraduates - out-of-state,DRVEF2022.Percent of first-time undergraduates - foreign countries,"SFA2122.Percent of undergraduate students awarded federal, state, local, institutional or other sources of grant aid","SFA2122.Average net price-students awarded grant or scholarship aid, 2021-22","SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price-students awarded grant or scholarship aid, 2021-22","SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22",DRVADM2022.Percent admitted - total,DRVADM2022.Admissions yield - total,"DRVIC2022.Tuition and fees, 2022-23",DRVIC2022.Total price for in-state students living on campus 2022-23,DRVIC2022.Total price for out-of-state students living on campus 2022-23,HD2022.Sector of institution,HD2022.Level of institution,HD2022.Control of institution,DRVEF2022.Percent of total enrollment that are American Indian or Alaska Native,DRVEF2022.Percent of total enrollment that are Asian,DRVEF2022.Percent of total enrollment that are Black or African American,DRVEF2022.Percent of total enrollment that are Hispanic/Latino,DRVEF2022.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander,DRVEF2022.Percent of total enrollment that are White,DRVEF2022.Percent of total enrollment that are U.S. Nonresident,DRVEF2022.Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander,"DRVGR2022.Graduation rate, total cohort","DRVGR2022.Graduation rate, American Indian or Alaska Native","DRVGR2022.Graduation rate, Asian/Native Hawaiian/Other Pacific Islander","DRVGR2022.Graduation rate, Asian","DRVGR2022.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2022.Graduation rate, Black, non-Hispanic","DRVGR2022.Graduation rate, Hispanic","DRVGR2022.Graduation rate, White, non-Hispanic","DRVGR2022.Graduation rate, U.S. Nonresident",SFA2122.Percent of full-time first-time undergraduates awarded any financial aid,"SFA2122.Average amount of federal, state, local or institutional grant aid awarded",ADM2022.SAT Evidence-Based Reading and Writing 25th percentile score,ADM2022.SAT Evidence-Based Reading and Writing 50th percentile score,ADM2022.SAT Evidence-Based Reading and Writing 75th percentile score,ADM2022.SAT Math 25th percentile score,ADM2022.SAT Math 50th percentile score,ADM2022.SAT Math 75th percentile score,ADM2022.ACT Composite 25th percentile score,ADM2022.ACT Composite 50th percentile score,ADM2022.ACT Composite 75th percentile score,ADM2022.ACT English 25th percentile score,ADM2022.ACT English 50th percentile score,ADM2022.ACT English 75th percentile score,ADM2022.ACT Math 25th percentile score,ADM2022.ACT Math 50th percentile score,ADM2022.ACT Math 75th percentile score
Troy University,Alabama,3920,3679,,74,24,2,73,13187,13911,14307,15892,15949,15573,,,,,,,95,25,9312,22977,32289,"Public, 4-year or above",Four or more years,Public,0,1,32,5,0,52,2,1,46,17,46,55,0,37,30,54,37,96,8806,490,540,590,460,505,560,17,20,24,16,21,25,16,18,23
Tuskegee University,Alabama,5376,5304,,22,78,0,96,,,,,,,35596,24480,30332,33857,,,30,15,22614,41924,41924,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,84,2,2,2,0,2,67,,50,50,,74,80,50,,100,6328,495,570,620,475,530,595,18,21,24,17,20,24,16,18,22
United States Sports Academy,Alabama,,,,0,67,33,69,,,,,,,,,,,,,100,100,16418,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,1,30,9,0,40,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bevill State Community College,Alabama,1450,,,98,2,0,92,7439,7395,7961,7411,6232,,,,,,,,,,5278,16870,20870,"Public, 2-year",At least 2 but less than 4 years,Public,0,1,15,4,0,76,0,1,36,0,33,33,,23,28,38,,100,7452,,,,,,,,,,,,,,,
University of Alaska Anchorage,Alaska,7312,5350,,91,8,1,52,15609,6450,9746,12476,16796,19569,,,,,,,65,41,7508,28792,42919,"Public, 4-year or above",Four or more years,Public,5,7,3,9,2,48,2,9,30,8,33,34,25,22,30,34,58,92,8929,,,,,,,,,,,,,,,
Alaska Bible College,Alaska,,,7000,100,0,0,89,,,,,,,17156,14153,,18159,18319,,,,10900,22101,22101,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,3,3,0,90,0,0,50,,,,,,100,33,,100,4790,,,,,,,,,,,,,,,
University of Alaska Fairbanks,Alaska,5150,5500,,78,20,2,68,9450,5742,5012,9676,13915,14500,,,,,,,,,7896,23196,37332,"Public, 4-year or above",Four or more years,Public,12,2,3,9,1,53,3,3,39,22,50,57,33,27,30,48,67,100,8704,,,,,,,,,,,,,,,
University of Alaska Southeast,Alaska,5830,4000,,80,18,2,44,9823,3778,4097,5507,11910,11367,,,,,,,63,57,6960,20638,34774,"Public, 4-year or above",Four or more years,Public,11,4,1,8,1,55,1,6,25,9,20,25,0,,40,31,,91,8177,,,,,,,,,,,,,,,
Alaska Pacific University,Alaska,3470,4830,,70,30,0,90,,,,,,,22388,19606,17622,20862,30422,28461,99,7,20760,34670,34670,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,25,6,4,2,2,34,1,8,36,75,50,100,0,0,67,32,,100,12549,,,,,,,,,,,,,,,
Alaska Vocational Technical Center,Alaska,,,11387,77,0,0,9,18645,16496,16184,,,,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,43,1,1,3,0,35,0,2,86,,,,,,,,,55,5968,,,,,,,,,,,,,,,
Charter College,Washington,,,,59,41,0,80,,,,,,,23756,22646,22444,24483,27218,26375,,,17116,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,12,3,8,19,3,42,1,6,55,41,41,67,40,55,59,61,,93,8454,,,,,,,,,,,,,,,
Alaska Career College,Alaska,,,,100,0,0,69,,,,,,,17498,17748,19009,,,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,24,14,10,8,2,30,0,16,70,72,73,73,71,54,63,77,,67,5531,,,,,,,,,,,,,,,
University of Alaska System of Higher Education,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,Administrative Unit,Four or more years,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empire Beauty School-Tucson,Arizona,,,,97,3,0,56,,,,,,,16142,15535,14975,16720,20082,20641,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,3,1,8,53,0,23,0,1,57,,,,,,,,,70,4914,,,,,,,,,,,,,,,
Carrington College-Phoenix North,Arizona,,,,99,1,0,59,,,,,,,26788,26440,26654,27873,30659,30659,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,4,3,9,56,0,17,1,3,53,50,60,60,,32,57,51,80,92,4116,,,,,,,,,,,,,,,
Carrington College-Mesa,Arizona,,,,100,0,0,56,,,,,,,38260,39996,38248,44993,,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,8,3,7,46,0,24,0,3,45,38,50,100,33,26,52,41,100,87,3797,,,,,,,,,,,,,,,
Carrington College-Tucson,Arizona,,,,99,1,0,60,,,,,,,28000,27116,28015,30154,31794,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,3,2,8,62,0,17,0,3,53,0,33,50,0,44,56,54,100,90,4777,,,,,,,,,,,,,,,
Arizona Academy of Beauty,Arizona,,,,100,0,0,64,,,,,,,14622,13676,13676,,20321,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,3,21,50,0,24,0,3,57,,,,,,,,,100,4945,,,,,,,,,,,,,,,
Miller-Motte College-Arizona Automotive Institute,Arizona,,,,99,1,0,82,,,,,,,22312,21863,24002,25612,26947,27409,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,11,0,10,46,1,24,0,1,53,53,67,67,67,38,49,63,,95,5067,,,,,,,,,,,,,,,
Brookline College-Phoenix,Arizona,,,,90,10,0,57,,,,,,,37807,37807,,,,,,,,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,7,3,13,32,1,26,0,4,57,64,75,67,100,31,65,54,,68,4529,,,,,,,,,,,,,,,
Arizona State University Campus Immersion,Arizona,9108,5610,,57,36,7,81,14808,8088,10194,15137,18632,20466,,,,,,,90,25,11618,31127,50101,"Public, 4-year or above",Four or more years,Public,1,8,4,23,0,42,14,8,67,46,76,78,44,49,61,70,75,93,12381,,,,,,,,,,,,,,,
Arizona Western College,Arizona,2378,5590,,97,2,0,99,9487,9713,10976,12699,12141,,,,,,,,,,2960,18909,25719,"Public, 2-year",At least 2 but less than 4 years,Public,1,1,1,63,0,11,1,1,21,0,0,,0,0,21,23,30,99,6256,,,,,,,,,,,,,,,
University of Arizona,Arizona,8650,5000,,47,48,5,84,17075,11240,12651,14785,18520,20230,,,,,,,87,20,13275,31625,57927,"Public, 4-year or above",Four or more years,Public,1,6,4,26,0,48,7,6,68,45,75,76,50,56,63,70,71,98,15279,570,620,680,570,620,690,21,25,29,20,24,29,20,25,28
Central Arizona College,Arizona,3000,4900,,96,1,1,57,6945,5794,5435,7523,8723,9582,,,,,,,,,1500,13215,14715,"Public, 2-year",At least 2 but less than 4 years,Public,3,2,7,42,1,37,1,3,18,21,20,17,25,15,14,18,44,75,4579,,,,,,,,,,,,,,,
